			Bx	By	Bz
-300	-40	40	-0.036892268	1.343049058	0.004492782
-300	-40	60	-0.035330594	1.338815995	0.009795955
-300	-40	80	-0.040388041	1.336700936	0.009241476
-300	-40	100	-0.036625994	1.334202126	0.014870103
-300	-40	120	-0.039271618	1.325583943	0.017597323
-300	-40	140	-0.041917242	1.316965759	0.020324543
-300	-40	160	-0.046393181	1.305801638	0.02590852
-300	-40	180	-0.053998247	1.297070602	0.038433674
-300	-40	200	-0.059753958	1.279792614	0.039511334
-300	-40	220	-0.061727621	1.261621822	0.043851535
-300	-40	240	-0.070595799	1.238905492	0.058081874
-300	-40	260	-0.075839017	1.211255851	0.063801424
-300	-40	280	-0.083866101	1.18327904	0.082584
-300	-40	300	-0.087377634	1.139036607	0.090521946
-300	-20	-300	-0.049302863	1.125413258	-0.053482066
-300	-20	-280	-0.041593295	1.162796821	-0.04015678
-300	-20	-260	-0.040107541	1.193170457	-0.03622886
-300	-20	-240	-0.034147268	1.2237194	-0.030746655
-300	-20	-220	-0.03611854	1.247477797	-0.02692978
-300	-20	-200	-0.03377048	1.265753856	-0.021786153
-300	-20	-180	-0.030038861	1.282950385	-0.017671522
-300	-20	-160	-0.023482632	1.297982339	-0.011545081
-300	-20	-140	-0.023434998	1.309403676	-0.01351024
-300	-20	-120	-0.025942894	1.319229389	-0.013092804
-300	-20	-100	-0.022602946	1.326306644	-0.005338298
-300	-20	-80	-0.021966874	1.330325163	-0.005996423
-300	-20	-60	-0.021624747	1.334008326	-0.00392208
-300	-20	-40	-0.02117252	1.337906335	-0.001808472
-300	-20	-20	-0.02057323	1.341037605	-0.003502522
-300	-20	0	-0.018087412	1.336999051	-0.000102451
-300	-20	20	-0.018809756	1.334796738	0.000962203
-300	-20	40	-0.019992244	1.333757945	0.002824068
-300	-20	60	-0.021174732	1.332719153	0.004685933
-300	-20	80	-0.021258096	1.328661109	0.005974725
-300	-20	100	-0.022098805	1.321358916	0.007196386
-300	-20	120	-0.024066242	1.313193325	0.009893166
-300	-20	140	-0.023585104	1.305204367	0.012038416
-300	-20	160	-0.024278263	1.295855711	0.014323482
-300	-20	180	-0.02748165	1.278666026	0.017422646
-300	-20	200	-0.0305386	1.256937272	0.021975405
-300	-20	220	-0.033595551	1.235208518	0.026528165
-300	-20	240	-0.04427637	1.213649996	0.031019612
-300	-20	260	-0.049712869	1.186587734	0.035206842
-300	-20	280	-0.057696441	1.155535279	0.052640725
-300	-20	300	-0.047515778	1.111049741	0.045046918
-300	0	-300	-0.005756274	1.108558787	-0.007144456
-300	0	-280	-0.005208867	1.153457104	-0.006278524
-300	0	-260	-0.004255444	1.184725505	-0.005335684
-300	0	-240	-0.004394199	1.212657503	-0.006162516
-300	0	-220	-0.003320773	1.233226954	-0.006092568
-300	0	-200	-0.001530101	1.261194435	-0.001454354
-300	0	-180	-0.000760382	1.276137447	-0.000638928
-300	0	-160	-0.001627692	1.287174671	-0.000507857
-300	0	-140	-0.002495002	1.298211895	-0.000376786
-300	0	-120	-0.002537926	1.308090592	-0.004062666
-300	0	-100	-0.001142847	1.317454446	0.000721158
-300	0	-80	-0.003276227	1.322469789	-0.000757409
-300	0	-60	-0.007385429	1.328634245	-2.41E-05
-300	0	-40	-0.003634644	1.331450578	0.001786893
-300	0	-20	-0.002212443	1.334648917	-0.003083041
-300	0	0	-0.002455639	1.335068397	-0.002780241
-300	0	20	-0.002737435	1.334477409	-7.66E-05
-300	0	40	-0.0026556	1.331686183	0.001008731
-300	0	60	-0.002676015	1.327297979	0.001093966
-300	0	80	-0.002690123	1.323733895	0.000167763
-300	0	100	-0.002305423	1.317441738	-0.0004261
-300	0	120	-0.003185831	1.310014287	0.000400235
-300	0	140	-0.00326325	1.300521355	0.002645257
-300	0	160	-0.000950677	1.288791695	2.85E-05
-300	0	180	-0.005509273	1.272834401	0.002085707
-300	0	200	-0.006904762	1.256474333	0.001486934
-300	0	220	-0.006649004	1.238372317	0.007653503
-300	0	240	-0.010902974	1.211998571	0.003873723
-300	0	260	-0.004101858	1.179712176	0.006865378
-300	0	280	-0.00596713	1.152364678	0.009709915
-300	0	300	-0.006739163	1.109197955	0.008119985
-300	20	-300	0.031804395	1.119454842	0.029630807
-300	20	-280	0.032186741	1.156401722	0.029634353
-300	20	-260	0.030368093	1.190762192	0.026301536
-300	20	-240	0.026177645	1.219711966	0.020831058
-300	20	-220	0.02467883	1.242777067	0.015052045
-300	20	-200	0.023398355	1.262889257	0.012905364
-300	20	-180	0.021326287	1.278417399	0.012046671
-300	20	-160	0.021169387	1.289778132	0.01108049
-300	20	-140	0.022022806	1.297748081	0.006188296
