			Bx	By	Bz
-300	-140	-40	-5.40E-02	1.08E+00	-2.03E-03
-300	-140	-20	-5.01E-02	1.09E+00	-3.85E-03
-300	-140	0	-4.76E-02	1.09E+00	-1.46E-03
-300	-140	20	-4.99E-02	1.09E+00	5.85E-03
-300	-140	40	-4.96E-02	1.09E+00	3.29E-03
-300	-140	60	-5.65E-02	1.10E+00	9.70E-03
-300	-140	80	-5.87E-02	1.10E+00	1.48E-02
-300	-140	100	-6.12E-02	1.10E+00	1.93E-02
-300	-140	120	-6.37E-02	1.10E+00	2.38E-02
-300	-140	140	-7.17E-02	1.10E+00	3.31E-02
-300	-140	160	-7.78E-02	1.10E+00	4.64E-02
-300	-140	180	-8.90E-02	1.10E+00	5.65E-02
-300	-140	200	-1.00E-01	1.10E+00	6.90E-02
-300	-140	220	-1.12E-01	1.10E+00	8.52E-02
-300	-140	240	-1.21E-01	1.10E+00	1.01E-01
-300	-140	260	-1.41E-01	1.10E+00	1.24E-01
-300	-140	280	-1.63E-01	1.09E+00	1.55E-01
-300	-140	300	-1.85E-01	1.09E+00	1.89E-01
-300	-120	-300	-1.73E-01	1.02E+00	-1.72E-01
-300	-120	-280	-1.54E-01	1.04E+00	-1.46E-01
-300	-120	-260	-1.38E-01	1.04E+00	-1.20E-01
-300	-120	-240	-1.20E-01	1.05E+00	-9.57E-02
-300	-120	-220	-1.04E-01	1.06E+00	-7.50E-02
-300	-120	-200	-9.55E-02	1.06E+00	-6.66E-02
-300	-120	-180	-8.72E-02	1.06E+00	-5.51E-02
-300	-120	-160	-7.90E-02	1.06E+00	-4.51E-02
-300	-120	-140	-7.09E-02	1.07E+00	-3.50E-02
-300	-120	-120	-6.62E-02	1.07E+00	-3.15E-02
-300	-120	-100	-6.34E-02	1.07E+00	-2.27E-02
-300	-120	-80	-5.92E-02	1.07E+00	-1.61E-02
-300	-120	-60	-5.79E-02	1.07E+00	-1.18E-02
-300	-120	-40	-5.60E-02	1.07E+00	-2.57E-03
-300	-120	-20	-5.39E-02	1.07E+00	-1.35E-03
-300	-120	0	-5.39E-02	1.06E+00	1.47E-03
-300	-120	20	-5.29E-02	1.07E+00	3.86E-03
-300	-120	40	-5.23E-02	1.06E+00	9.48E-03
-300	-120	60	-5.75E-02	1.07E+00	1.01E-02
-300	-120	80	-5.98E-02	1.07E+00	1.55E-02
-300	-120	100	-6.22E-02	1.07E+00	2.09E-02
-300	-120	120	-6.45E-02	1.07E+00	2.63E-02
-300	-120	140	-6.54E-02	1.06E+00	3.36E-02
-300	-120	160	-7.88E-02	1.07E+00	4.45E-02
-300	-120	180	-8.82E-02	1.06E+00	5.62E-02
-300	-120	200	-9.77E-02	1.06E+00	6.80E-02
-300	-120	220	-1.07E-01	1.06E+00	7.98E-02
-300	-120	240	-1.16E-01	1.05E+00	9.56E-02
-300	-120	260	-1.42E-01	1.04E+00	1.16E-01
-300	-120	280	-1.64E-01	1.03E+00	1.50E-01
-300	-120	300	-1.72E-01	1.02E+00	1.74E-01
-300	-100	-300	-1.47E-01	9.68E-01	-1.50E-01
-300	-100	-280	-1.38E-01	9.88E-01	-1.30E-01
-300	-100	-260	-1.23E-01	1.00E+00	-1.09E-01
-300	-100	-240	-1.08E-01	1.02E+00	-8.81E-02
-300	-100	-220	-9.71E-02	1.02E+00	-7.28E-02
-300	-100	-200	-9.02E-02	1.02E+00	-6.15E-02
-300	-100	-180	-8.19E-02	1.03E+00	-5.25E-02
-300	-100	-160	-7.61E-02	1.03E+00	-4.10E-02
-300	-100	-140	-6.80E-02	1.04E+00	-3.35E-02
-300	-100	-120	-6.36E-02	1.04E+00	-2.26E-02
-300	-100	-100	-6.36E-02	1.05E+00	-2.76E-02
-300	-100	-80	-5.84E-02	1.05E+00	-1.19E-02
-300	-100	-60	-5.02E-02	1.05E+00	-1.38E-02
-300	-100	-40	-4.93E-02	1.05E+00	-8.78E-03
-300	-100	-20	-5.00E-02	1.05E+00	-1.14E-03
-300	-100	0	-5.25E-02	1.05E+00	5.12E-04
-300	-100	20	-5.24E-02	1.05E+00	3.34E-03
-300	-100	40	-5.24E-02	1.05E+00	6.16E-03
-300	-100	60	-5.38E-02	1.05E+00	1.07E-02
-300	-100	80	-5.66E-02	1.04E+00	1.58E-02
-300	-100	100	-5.94E-02	1.04E+00	2.08E-02
-300	-100	120	-6.22E-02	1.04E+00	2.58E-02
-300	-100	140	-6.69E-02	1.04E+00	3.81E-02
-300	-100	160	-6.53E-02	1.04E+00	3.68E-02
-300	-100	180	-7.81E-02	1.03E+00	4.98E-02
-300	-100	200	-8.93E-02	1.02E+00	6.31E-02
-300	-100	220	-1.00E-01	1.01E+00	7.65E-02
-300	-100	240	-1.11E-01	1.01E+00	8.89E-02
-300	-100	260	-1.22E-01	1.00E+00	1.09E-01
-300	-100	280	-1.41E-01	9.85E-01	1.34E-01
-300	-100	300	-1.46E-01	9.62E-01	1.50E-01
-300	-80	-300	-1.21E-01	9.20E-01	-1.24E-01
-300	-80	-280	-1.14E-01	9.43E-01	-1.10E-01
-300	-80	-260	-1.07E-01	9.66E-01	-9.54E-02
-300	-80	-240	-9.62E-02	9.80E-01	-8.04E-02
-300	-80	-220	-8.95E-02	9.95E-01	-6.35E-02
-300	-80	-200	-8.12E-02	1.00E+00	-5.46E-02
-300	-80	-180	-7.30E-02	1.01E+00	-4.56E-02
-300	-80	-160	-6.47E-02	1.02E+00	-3.67E-02
-300	-80	-140	-5.78E-02	1.02E+00	-2.69E-02
